"","catalogNumber","coordinates","plotType","longitude","latitude"
"507",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"508",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"509",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"510",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"511",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"512",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"513",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"514",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"515",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"516",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"517",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"518",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"519",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"520",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"521",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"522",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"523",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"524",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"525",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"526",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"527",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"528",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"529",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"530","AUGIEENTB0000425","41.489621-90.635952","LP-PR","41.489621","90.635952"
"531","AUGIEENTB0000426","41.489621-90.635952","LP-PR","41.489621","90.635952"
"532","AUGIEENTB0000427","41.489621-90.635952","LP-PR","41.489621","90.635952"
"533","AUGIEENTB0000428","41.489621-90.635952","LP-PR","41.489621","90.635952"
"534","AUGIEENTB0000429","41.489621-90.635952","LP-PR","41.489621","90.635952"
"535","AUGIEENTB0000430","41.489621-90.635952","LP-PR","41.489621","90.635952"
"536","AUGIEENTB0000431","41.489621-90.635952","LP-PR","41.489621","90.635952"
"537","AUGIEENTB0000432","41.489621-90.635952","LP-PR","41.489621","90.635952"
"538","NO SCAN SQUISHED","41.489621-90.635952","LP-PR","41.489621","90.635952"
"539","NO SCAN SQUISHED","41.489621-90.635952","LP-PR","41.489621","90.635952"
"540","NO SCAN SQUISHED","41.436864-90.552542","LP-PR","41.436864","90.552542"
"541","AUGIEENTB0000452","41.436864-90.552542","LP-PR","41.436864","90.552542"
"542",NA,"41.436864-90.552542","LP-PR","41.436864","90.552542"
"543","AUGIEENTB0000453","41.436864-90.552542","LP-PR","41.436864","90.552542"
"544","AUGIEENTB0000507","41.436864-90.552542","LP-PR","41.436864","90.552542"
"545","AUGIEENTB0000511","41.436864-90.552542","LP-PR","41.436864","90.552542"
"546","AUGIEENTB0000454","41.436864-90.552542","LP-PR","41.436864","90.552542"
"547","AUGIEENTB0000508","41.436864-90.552542","LP-PR","41.436864","90.552542"
"548","AUGIEENTB0000509","41.436864-90.552542","LP-PR","41.436864","90.552542"
"549","AUGIEENTB0000510","41.436864-90.552542","LP-PR","41.436864","90.552542"
"550","AUGIEENTB0000443","41.509388-90.491046","LP-PR","41.509388","90.491046"
"551","AUGIEENTB0000515","41.509388-90.491046","LP-PR","41.509388","90.491046"
"552","AUGIEENTB0000514","41.509388-90.491046","LP-PR","41.509388","90.491046"
"553","AUGIEENTB0000444","41.509388-90.491046","LP-PR","41.509388","90.491046"
"554","AUGIEENTB0000445","41.509388-90.491046","LP-PR","41.509388","90.491046"
"555","AUGIEENTB0000447","41.509388-90.491046","LP-PR","41.509388","90.491046"
"556","AUGIEENTB0000512","41.509388-90.491046","LP-PR","41.509388","90.491046"
"557","NO SCAN SQUISHED","41.509388-90.491046","LP-PR","41.509388","90.491046"
"558","AUGIEENTB0000513","41.509388-90.491046","LP-PR","41.509388","90.491046"
